task_id,project_id,assigned_to,task_description,status_id,priority,due_date
1,47,68,Task description for Task 1,1,Low,2024-12-22
2,8,79,Task description for Task 2,3,High,2024-12-28
3,44,47,Task description for Task 3,1,Medium,2024-12-27
4,21,49,Task description for Task 4,2,High,2024-12-31
5,47,96,Task description for Task 5,2,Medium,2024-12-31
6,40,50,Task description for Task 6,2,Medium,2024-12-28
7,30,24,Task description for Task 7,5,Medium,2024-12-30
8,25,36,Task description for Task 8,4,High,2024-12-28
9,2,68,Task description for Task 9,2,Medium,2024-12-22
10,25,30,Task description for Task 10,1,Low,2024-12-22
11,5,78,Task description for Task 11,3,Low,2024-12-31
12,7,36,Task description for Task 12,4,Medium,2024-12-21
13,14,26,Task description for Task 13,4,Low,2024-12-21
14,1,80,Task description for Task 14,4,Medium,2024-12-22
15,15,51,Task description for Task 15,1,Low,2024-12-29
16,35,91,Task description for Task 16,2,Low,2024-12-30
17,47,83,Task description for Task 17,3,Medium,2024-12-27
18,31,4,Task description for Task 18,3,High,2024-12-27
19,1,5,Task description for Task 19,3,Medium,2024-12-31
20,26,26,Task description for Task 20,4,Low,2024-12-25
21,22,55,Task description for Task 21,5,Medium,2024-12-27
22,12,55,Task description for Task 22,5,Low,2024-12-20
23,45,2,Task description for Task 23,5,High,2024-12-28
24,1,37,Task description for Task 24,4,High,2024-12-22
25,4,29,Task description for Task 25,5,Medium,2024-12-24
26,48,76,Task description for Task 26,5,Low,2024-12-26
27,25,100,Task description for Task 27,2,Low,2024-12-21
28,2,21,Task description for Task 28,3,Low,2024-12-29
29,40,21,Task description for Task 29,4,High,2024-12-30
30,4,100,Task description for Task 30,4,High,2024-12-30
31,43,88,Task description for Task 31,1,Medium,2024-12-27
32,47,29,Task description for Task 32,4,Medium,2024-12-24
33,2,11,Task description for Task 33,4,Low,2024-12-21
34,5,83,Task description for Task 34,4,High,2024-12-23
35,47,32,Task description for Task 35,1,Low,2024-12-28
36,11,84,Task description for Task 36,5,Medium,2024-12-31
37,5,1,Task description for Task 37,4,High,2024-12-24
38,28,92,Task description for Task 38,3,Low,2024-12-24
39,40,19,Task description for Task 39,1,High,2024-12-29
40,20,66,Task description for Task 40,1,High,2024-12-30
41,27,34,Task description for Task 41,2,Low,2024-12-22
42,23,27,Task description for Task 42,5,High,2024-12-22
43,44,82,Task description for Task 43,1,Low,2024-12-27
44,33,14,Task description for Task 44,2,High,2024-12-28
45,48,53,Task description for Task 45,4,Low,2024-12-29
46,6,31,Task description for Task 46,1,High,2024-12-22
47,36,27,Task description for Task 47,5,High,2024-12-25
48,49,15,Task description for Task 48,3,Medium,2024-12-24
49,17,78,Task description for Task 49,2,Low,2024-12-23
50,38,20,Task description for Task 50,1,Medium,2024-12-24
51,43,87,Task description for Task 51,4,Medium,2024-12-21
52,29,72,Task description for Task 52,5,Medium,2024-12-23
53,3,25,Task description for Task 53,5,Medium,2024-12-27
54,45,35,Task description for Task 54,1,Medium,2024-12-22
55,30,3,Task description for Task 55,5,High,2024-12-31
56,40,48,Task description for Task 56,1,Medium,2024-12-29
57,44,45,Task description for Task 57,1,Low,2024-12-23
58,42,38,Task description for Task 58,4,Low,2024-12-24
59,12,6,Task description for Task 59,4,Medium,2024-12-29
60,33,53,Task description for Task 60,1,Low,2024-12-28
61,37,79,Task description for Task 61,4,Medium,2024-12-25
62,42,84,Task description for Task 62,4,High,2024-12-25
63,15,51,Task description for Task 63,3,High,2024-12-25
64,10,35,Task description for Task 64,1,Medium,2024-12-25
